output_products/code,output_products/name,name,routing/name
K-C5/LG/LP,Lifetime Kit - Carbon/5 Ft/Large/Pouch,Lifetime Kit - Carbon/5 Ft/Large/Pouch,
K-C5/MD/LP,Lifetime Kit - Carbon/5 Ft/Medium/Pouch,Lifetime Kit - Carbon/5 Ft/Medium/Pouch,
K-C5/SM/LP,Lifetime Kit - Carbon/5 Ft/Small/Pouch,Lifetime Kit - Carbon/5 Ft/Small/Pouch,
K-C8/LG/LP,Lifetime Kit - Carbon/8 Ft/Large/Pouch,Lifetime Kit - Carbon/8 Ft/Large/Pouch,
K-C8/MD/LP,Lifetime Kit - Carbon/8 Ft/Medium/Pouch,Lifetime Kit - Carbon/8 Ft/Medium/Pouch,
K-C8/SM/LP,Lifetime Kit - Carbon/8 Ft/Small/Pouch,Lifetime Kit - Carbon/8 Ft/Small/Pouch,
K-G5/LG/LP,Lifetime Kit - Glacier/5 Ft/Large/Pouch,Lifetime Kit - Glacier/5 Ft/Large/Pouch,
K-G5/MD/LP,Lifetime Kit - Glacier/5 Ft/Medium/Pouch,Lifetime Kit - Glacier/5 Ft/Medium/Pouch,
K-G5/SM/LP,Lifetime Kit - Glacier/5 Ft/Small/Pouch,Lifetime Kit - Glacier/5 Ft/Small/Pouch,
K-G8/LG/LP,Lifetime Kit - Glacier/8 Ft/Large/Pouch,Lifetime Kit - Glacier/8 Ft/Large/Pouch,
K-G8/MD/LP,Lifetime Kit - Glacier/8 Ft/Medium/Pouch,Lifetime Kit - Glacier/8 Ft/Medium/Pouch,
K-G8/SM/LP,Lifetime Kit - Glacier/8 Ft/Small/Pouch,Lifetime Kit - Glacier/8 Ft/Small/Pouch,
K-H5/LG/LP,Lifetime Kit - Honey/5 Ft/Large/Pouch,Lifetime Kit - Honey/5 Ft/Large/Pouch,
K-H5/MD/LP,Lifetime Kit - Honey/5 Ft/Medium/Pouch,Lifetime Kit - Honey/5 Ft/Medium/Pouch,
K-H5/SM/LP,Lifetime Kit - Honey/5 Ft/Small/Pouch,Lifetime Kit - Honey/5 Ft/Small/Pouch,
K-H8/LG/LP,Lifetime Kit - Honey/8 Ft/Large/Pouch,Lifetime Kit - Honey/8 Ft/Large/Pouch,
K-H8/MD/LP,Lifetime Kit - Honey/8 Ft/Medium/Pouch,Lifetime Kit - Honey/8 Ft/Medium/Pouch,
K-H8/SM/LP,Lifetime Kit - Honey/8 Ft/Small/Pouch,Lifetime Kit - Honey/8 Ft/Small/Pouch,
K-M5/LG/LP,Lifetime Kit - Moss/5 Ft/Large/Pouch,Lifetime Kit - Moss/5 Ft/Large/Pouch,
K-M5/MD/LP,Lifetime Kit - Moss/5 Ft/Medium/Pouch,Lifetime Kit - Moss/5 Ft/Medium/Pouch,
K-M5/SM/LP,Lifetime Kit - Moss/5 Ft/Small/Pouch,Lifetime Kit - Moss/5 Ft/Small/Pouch,
